BoxType,SheetLength,SheetWidth
BB2,Le,Br
BB3,Le,Br
BB4,Le,Br
BB5,Le,Br
FOL3,(Le+Br)*2+(2*2.54),(He+Br)+Br
FOL5,(Le+Br)*2+(2.5*2.54),(He+Br)+Br
HSC3,(He*2+Br)+(2*2.54),(Le+Br)+(1.5*2.54)
HSC5,(He*2+Br)+(2.5*2.54),(Le+Br)+(1.5*2.54)
PLT-L,(Le)*3+(0*2.54),Br
PLTB1,(Le)*1+(0*2.54),Br
RC5,(Le+Br)*2+(2*2.54),(Br/2)+He
RSC3,(Le+Br)*2+(2*2.54),Br+He
RSC5,(Le+Br)*2+(2*2.54),Br+He
SBsf3,(He+Br)+(0.475*2.54),(Br+Le)*2+(2*2.54)
SBsf5,(He+Br)+(0.475*2.54),(Br+Le)*2+(2*2.54)
TC3,(He+He)+Le+(2*2.54),(He+He)+Br+(1*2.54)
TC5,(He+He)+Le+(3*2.54),(He+He)+Br+(1*2.54)
TR3,(Le+Br)*2+(5*2.54),(Br/2+He)+(1*2.54)
TR5,(Le+Br)*2+(3*2.54),(Br/2+He)+1
SB7,(Le+Br)*2+(3*2.54),(Br+He)+(1*2.54)
