BoxType,SheetLength,SheetWidth
BB2,Le,Br
BB3,Le,Br
BB4,Le,Br
BB5,Le,Br
FOL3,(Le+Br)*2+2,(He+Br)+Br
FOL5,(Le+Br)*2+2.5,(He+Br)+Br
HSC3,(He*2+Br)+2,(Le+Br)+1.5
HSC5,(He*2+Br)+2.5,(Le+Br)+1.5
PLT-L,(Le)*3,Br
PLTB1,(Le)*1,Br
RC5,(Le+Br)*2+2,(Br/2)+He
RSC3,(Le+Br)*2+2,Br+He
RSC5,(Le+Br)*2+2,Br+He
SBsf3,(He+Br)+0.475,(Br+Le)*2+2
SBsf5,(He+Br)+0.475,(Br+Le)*2+2
TC3,(He+He)+Le+2,(He+He)+Br+1
TC5,(He+He)+Le+3,(He+He)+Br+1
TR3,(Le+Br)*2+5,(Br/2+He)+1
TR5,(Le+Br)*2+3,(Br/2+He)+1
SB7,(Le+Br)*2+3,(Br+He)+1
