BoxType,SheetLength,SheetWidth
BB2,Le,Br
BB3,Le,Br
BB4,Le,Br
BB5,Le,Br
FOL3,(Le+0.423+Br+0.423)*2+(2*2.54),(He+0.423+Br+0.423)+Br+0.423
FOL5,(Le+0.635+Br+0.635)*2+(2.5*2.54),(He+0.635+Br+0.635)+Br+0.635
HSC3,(He+0.423)*2+Br+0.423+(2*2.54),(Le+0.423+Br+0.423)+(1.5*2.54)
HSC5,(He)*2+Br+0.635+(2.5*2.54),(Le+0.635+Br+0.635)+(1.5*2.54)
PLT-L,(Le)*3+(0*2.54),Br
PLTB1,(Le)*1+(0*2.54),Br
RC5,(Le+0.635+Br+0.635)*2+(2*2.54),(Br+0.635)/2+He+0.635
RSC3,(Le+0.423+Br+0.423)*2+(2*2.54),Br+0.423+He+0.423
RSC5,(Le+0.635+Br+0.635)*2+(2*2.54),Br+0.635+He+0.635
SBsf3,(He+0.423+Br+0.423)+(0.475*2.54),(Br+0.423+Le+0.423)*2+(2*2.54)
SBsf5,(He+0.635+Br+0.635)+(0.475*2.54),(Br+0.635+Le+0.635)*2+(2*2.54)
TC3,(He+0.423+He+0.423)+Le+0.423+(2*2.54),(He+0.423+He+0.423)+Br+0.423+(1*2.54)
TC5,(He+0.635+He+0.635)+Le+0.635+(3*2.54),(He+0.635+He+0.635)+Br+0.635+(1*2.54)
TR3,(Le+0.423+Br+0.423)*2+(5*2.54),(Br+0.423)/2+He+0.423+(1*2.54)
TR5,(Le+0.635+Br+0.635)*2+(3*2.54),(Br+0.635)/2+He+0.635+1
SB7,(Le+1.27+Br+1.27)*2+(3*2.54),(Br+1.27+He+1.27)+(1*2.54)
