BoxType,SheetLength,SheetWidth
BB2,Le,Br
BB3,Le,Br
BB4,Le,Br
BB5,Le,Br
FOL3,(Le+0.167+Br+0.167)*2+2,(He+0.167+Br+0.167)+Br+0.167
FOL5,(Le+0.25+Br+0.25)*2+2.5,(He+0.25+Br+0.25)+Br+0.25
HSC3,(He+0.167)*2+Br+0.167+2,(Le+0.167+Br+0.167)+1.5
HSC5,(He)*2+Br+0.25+2.5,(Le+0.25+Br+0.25)+1.5
PLT-L,(Le)*3,Br
PLTB1,(Le)*1,Br
RC5,(Le+0.25+Br+0.25)*2+2,(Br+0.25)/2+He+0.25
RSC3,(Le+0.167+Br+0.167)*2+2,Br+0.167+He+0.167
RSC5,(Le+0.25+Br+0.25)*2+2,Br+0.25+He+0.25
SBsf3,(He+0.167+Br+0.167)+0.475,(Br+0.167+Le+0.167)*2+2
SBsf5,(He+0.25+Br+0.25)+0.475,(Br+0.25+Le+0.25)*2+2
TC3,(He+0.167+He+0.167)+Le+0.167+2,(He+0.167+He+0.167)+Br+0.167+1
TC5,(He+0.25+He+0.25)+Le+0.25+3,(He+0.25+He+0.25)+Br+0.25+1
TR3,(Le+0.167+Br+0.167)*2+5,(Br+0.167)/2+He+0.167+1
TR5,(Le+0.25+Br+0.25)*2+3,(Br+0.25)/2+He+0.25+1
SB7,(Le+0.5+Br+0.5)*2+3,(Br+0.5+He+0.5)+1
